PipeID,Age,Diameter,Depth,Slope,Length,PipeType,NetworkTyp,Connection,PipeForm,Material,Rainfall,Geology,GroundWate,SoilType,Building,LandCover,RoadClass,TrafficVol,Population,Score,Class
"56757","60","150",-1.85,0.26,35.03,Wastewater,Main,MUF,S,BET,152.74,Geology_1,25.56,Soiltype_6,No,LandUse_10,RoadClass_4,0.00,171.14,"25",Bad
"56843","64","225",-1.91,0.74,6.36,Combined,Main,MUF,S,BET,152.18,Geology_3,24.46,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,184.46,"0",Very good
"56844","64","225",-2.18,1.27,45.73,Combined,Main,MUF,S,BET,152.12,Geology_3,24.39,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,184.46,"0",Very good
"56845","42","160",-2.22,4.37,45.14,Wastewater,Main,Others,S,PVC,152.09,Geology_1,26.04,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,212.13,"0",Very good
"57153","48","300",-2.97,4.54,29.74,Combined,Main,MUF,S,BET,152.95,Geology_1,24.43,Soiltype_5,No,LandUse_10,RoadClass_2,0.00,12.30,"68",Very bad
"57155","48","150",-2.55,4.31,26.26,Combined,Main,MUF,S,BET,152.95,Geology_1,24.43,Soiltype_5,No,LandUse_10,RoadClass_2,0.00,12.30,"29",Bad
"57159","48","300",-1.63,1.87,64.99,Combined,Main,MUF,S,BET,152.94,Geology_1,24.69,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,194.71,"144",Very bad
"57170","48","300",-1.66,0.58,36.81,Combined,Main,MUF,S,BET,153.13,Geology_1,24.26,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,4.10,"7",Good
"57205","48","225",-1.72,2.85,53.21,Combined,Main,MUF,S,BET,153.02,Geology_1,25.04,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,194.71,"53",Very bad
"57209","48","225",-2.01,2.55,58.64,Combined,Main,MUF,S,BET,153.03,Geology_1,25.69,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,194.71,"35",Bad
"57214","48","225",-1.99,0.33,53.39,Combined,Main,MUF,S,BET,153.08,Geology_1,24.72,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,194.71,"168",Very bad
"57217","48","225",-2.16,-0.18,44.35,Combined,Main,MUF,S,BET,153.08,Geology_1,24.94,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,194.71,"202",Very bad
"57218","48","225",-1.61,4.14,55.30,Combined,Main,MUF,S,BET,153.08,Geology_1,25.22,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,194.71,"38",Bad
"57219","48","225",-2.35,2.73,43.41,Combined,Main,MUF,S,BET,153.09,Geology_1,25.54,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,194.71,"79",Very bad
"57220","48","225",-2.11,2.28,53.24,Combined,Main,MUF,S,BET,153.09,Geology_1,25.85,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,194.71,"36",Bad
"57222","48","225",-2.02,1.00,50.89,Combined,Main,MUF,S,BET,153.10,Geology_1,26.17,Soiltype_6,No,LandUse_10,RoadClass_2,0.00,64.56,"104",Very bad
"57223","48","225",-1.57,2.04,59.16,Combined,Main,MUF,S,BET,153.11,Geology_1,26.54,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,65.59,"62",Very bad
"57233","48","225",-1.89,1.27,52.36,Combined,Main,MUF,S,BET,153.12,Geology_1,24.85,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,213.16,"72",Very bad
"57234","48","225",-1.94,1.17,9.27,Combined,Main,MUF,S,BET,153.13,Geology_1,25.25,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,213.16,"143",Very bad
"57235","48","225",-1.85,2.31,54.88,Combined,Main,MUF,S,BET,153.14,Geology_1,25.70,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,213.16,"834",Very bad
"57237","48","200",-2.87,3.20,63.82,Combined,Main,MUF,S,PVC,153.16,Geology_1,26.56,Soiltype_6,No,LandUse_10,RoadClass_2,0.00,65.59,"423",Very bad
"57247","48","300",-2.06,0.72,46.15,Combined,Main,MUF,S,BET,153.13,Geology_1,24.42,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,213.16,"48",Bad
"57248","48","225",-2.05,0.16,52.01,Combined,Main,MUF,S,BET,153.14,Geology_1,24.63,Soiltype_5,No,LandUse_10,RoadClass_1,0.00,213.16,"82",Very bad
"57252","48","200",-2.23,3.70,56.63,Combined,Main,MUF,S,BET,153.17,Geology_1,25.34,Soiltype_6,No,LandUse_10,RoadClass_1,0.00,213.16,"80",Very bad
"57253","48","200",-1.85,5.07,47.42,Combined,Main,MUF,S,BET,153.18,Geology_1,25.88,Soiltype_13,No,LandUse_10,RoadClass_1,0.00,65.59,"69",Very bad
